Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
Original,6 of 11,25 of 35,10 of 17
Original,5 (1),21 (4),8 (2)
Original,1 (5),11 (14),6 (4)
Original,4 (2),15 (10),7 (3)
Original,1 (5),10 (15),3 (7)
Original,3 (3),16 (9),4 (6)
Original,1 (5),10 (15),2 (8)
Original,5 (1),18 (7),5 (5)
Original,3 (3),16 (9),4 (6)
Original,1 (5),10 (15),2 (8)
Original,3 (3),16 (9),3 (7)
Original,1 (5),10 (15),2 (8)
