Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,2726 (4331),46.23349229640499 (-44.482252392763215),3452 (1263),75.54446697566628 (-73.65782858754326),6172 (7913),56.03548282566429 (-54.05923149446088)
Original,2738 (4319),47.69229364499635 (-45.94105374135457),3452 (1263),77.44698725376594 (-75.56034886564292),6175 (7910),57.81587044534413 (-55.839619114140724)
Original,2753 (4304),49.12005085361424 (-47.36881094997246),3454 (1261),79.30356108859293 (-77.41692270046991),6175 (7910),59.62218623481781 (-57.6459349036144)
Original,2799 (4258),49.95641300464452 (-48.20517310100274),3460 (1255),81.06878612716763 (-79.18214773904461),6263 (7822),60.61807440523711 (-58.6418230740337)
Original,2814 (4243),51.24680170575693 (-49.495561802115155),3462 (1253),82.92128827267476 (-81.03464988455174),6265 (7820),62.41237031125299 (-60.436118980049585)
Original,2871 (4186),51.85945663531871 (-50.10821673167693),3468 (1247),84.68569780853518 (-82.79905942041216),6382 (7703),63.08382952052648 (-61.10757818932307)
Original,2912 (4145),52.77300824175824 (-51.021768338116466),3472 (1243),86.48948732718894 (-84.60284893906592),6449 (7636),64.2744611567685 (-62.29820982556509)
Original,2917 (4140),54.34727459718889 (-52.59603469354712),3472 (1243),88.39084101382488 (-86.50420262570186),6449 (7636),66.10676073809893 (-64.13050940689551)
Original,2925 (4132),55.85196581196581 (-54.10072590832404),3472 (1243),90.29219470046083 (-88.40555631233781),6449 (7636),67.93906031942937 (-65.96280898822596)
Original,2957 (4100),56.85052417991207 (-55.099284276270296),3475 (1240),92.12258992805755 (-90.23595153993453),6528 (7557),68.90908394607843 (-66.93283261487501)
Original,2982 (4075),58.054325955734406 (-56.30308605209263),3479 (1236),93.90068985340615 (-92.01405146528313),6532 (7553),70.6982547458665 (-68.72200341466309)
Original,2987 (4070),59.62370271175092 (-57.87246280810915),3479 (1236),95.80482897384306 (-93.91819058572004),6532 (7553),72.52962339252909 (-70.55337206132567)
Original,3033 (4024),60.382129904385096 (-58.63089000074332),3512 (1203),96.82901480637813 (-94.94237641825511),6650 (7435),73.01924812030076 (-71.04299678909734)
Original,3042 (4015),61.86916502301118 (-60.1179251193694),3517 (1198),98.59482513505829 (-96.70818674693527),6650 (7435),74.8554135338346 (-72.87916220263118)
Original,3085 (3972),62.496272285251216 (-60.74503238160944),3526 (1189),100.24588769143506 (-98.35924930331204),6679 (7406),76.36524928881569 (-74.38899795761228)
Original,3101 (3956),63.71267333118349 (-61.961433427541714),3530 (1185),102.03314447592068 (-100.14650608779766),6734 (7351),77.50111375111375 (-75.52486241991033)
Original,3124 (3933),64.83418693982074 (-63.082947036178965),3531 (1184),103.90555083545738 (-102.01891244733436),6779 (7306),78.77386045139401 (-76.7976091201906)
Original,3126 (3931),66.47552783109406 (-64.72428792745228),3531 (1184),105.80572075899178 (-103.91908237086876),6787 (7298),80.53293060262266 (-78.55667927141924)
Original,3130 (3927),68.06948881789137 (-66.3182489142496),3538 (1177),107.50296777840587 (-105.61632939028286),6794 (7291),82.29997056226082 (-80.32371923105741)
Original,3165 (3892),69.02085308056873 (-67.26961317692695),3551 (1164),108.96451703745424 (-107.07787864933123),6855 (7230),83.40933625091175 (-81.43308491970834)
Original,3181 (3876),70.37126689720213 (-68.62002699356036),3554 (1161),110.77490151941474 (-108.88826313129172),7027 (7058),83.26497794222286 (-81.28872661101944)
Original,3202 (3855),71.57323547782636 (-69.82199557418458),3556 (1159),112.61361079865017 (-110.72697241052715),7089 (6996),84.29863168288898 (-82.32238035168557)
Original,3208 (3849),73.05610972568579 (-71.30486982204401),3558 (1157),114.43310848791455 (-112.54647009979153),7089 (6996),86.1566511496685 (-84.18039981846509)
Original,3210 (3847),74.70171339563863 (-72.95047349199686),3562 (1153),116.20325659741718 (-114.31661820929416),7089 (6996),88.01467061644802 (-86.0384192852446)
Original,3232 (3825),75.87035891089108 (-74.11911900724931),3564 (1151),118.03647586980921 (-116.14983748168619),7096 (6989),89.78600620067644 (-87.80975486947302)
Original,3320 (3737),75.4085843373494 (-73.65734443370762),3577 (1138),119.45485043332401 (-117.568212045201),7217 (6868),89.97561313565193 (-87.99936180444851)
Original,3463 (3594),73.80710366734046 (-72.05586376369868),3693 (1022),117.62780936907663 (-115.74117098095361),7289 (6796),90.76766360268898 (-88.79141227148557)
Original,4049 (3008),64.80661891825142 (-63.05537901460964),3900 (815),113.45782051282052 (-111.5711821246975),7469 (6616),90.25271120631946 (-88.27645987511605)
Original,4052 (3005),66.39906219151037 (-64.64782228786859),3904 (811),115.31211577868852 (-113.4254773905655),7513 (6572),91.53820045254892 (-89.5619491213455)
Original,4102 (2955),67.06143344709898 (-65.3101935434572),3912 (803),117.04358384458078 (-115.15694545645776),7583 (6502),92.44329421073454 (-90.46704287953112)
Original,4135 (2922),68.02769044740025 (-66.27645054375847),3918 (797),118.82771822358346 (-116.94107983546044),7631 (6454),93.74262875114664 (-91.76637741994323)
Original,4143 (2914),69.50253439536567 (-67.7512944917239),3930 (785),120.43269720101782 (-118.5460588128948),7679 (6406),94.98072665711682 (-93.0044753259134)
Original,4193 (2864),70.2610302885762 (-68.50979038493442),3983 (732),120.75546070800904 (-118.86882231988602),7874 (6211),94.30251460502922 (-92.3262632738258)
Original,4203 (2854),71.75422317392339 (-70.00298327028162),3989 (726),122.54073702682376 (-120.65409863870075),7970 (6115),94.70652446675031 (-92.7302731355469)
Original,4210 (2847),73.29501187648457 (-71.54377197284279),3991 (724),124.44437484339764 (-122.55773645527462),8110 (5975),94.88723797780519 (-92.91098664660177)
Original,4223 (2834),74.72803694056358 (-72.97679703692181),3993 (722),126.3473578762835 (-124.46071948816048),8141 (5944),96.42169266674856 (-94.44544133554514)
Original,4295 (2762),75.0859138533178 (-73.33467394967603),4013 (702),127.69175180662846 (-125.80511341850544),8164 (5921),97.83268005879471 (-95.8564287275913)
Original,4310 (2747),76.47668213457077 (-74.72544223092899),4019 (696),129.46591191838766 (-127.57927353026464),8169 (5916),99.66636063165626 (-97.69010930045285)
Original,4313 (2744),78.01437514491073 (-76.26313524126896),4019 (696),131.42896242846479 (-129.54232404034178),8206 (5879),101.11119912259322 (-99.1349477913898)
Original,4342 (2715),79.10536619069553 (-77.35412628705376),4034 (681),132.90493306891423 (-131.01829468079123),8211 (5874),102.93959322859578 (-100.96334189739237)
Original,4368 (2689),80.28891941391942 (-78.53767951027764),4039 (676),134.70264917058677 (-132.81601078246376),8227 (5858),104.6309104169199 (-102.65465908571649)
Original,4519 (2538),79.22482850188095 (-77.47358859823917),4073 (642),135.5410017186349 (-133.6543633305119),8284 (5801),105.78826653790439 (-103.81201520670098)
Original,4556 (2501),79.94381035996489 (-78.19257045632311),4085 (630),136.96279069767442 (-135.07615230955142),8319 (5766),107.1008534679649 (-105.12460213676148)
Original,4579 (2478),81.12917667613016 (-79.37793677248838),4085 (630),138.91505507955935 (-137.02841669143635),8327 (5758),108.89492013930587 (-106.91866880810245)
Original,4596 (2461),82.46040034812881 (-80.70916044448704),4090 (625),140.69706601466993 (-138.81042762654693),8332 (5753),110.72503600576093 (-108.74878467455751)
Original,4604 (2453),83.78887923544744 (-82.03763933180566),4092 (623),142.5784457478006 (-140.6918073596776),8332 (5753),112.61959913586173 (-110.64334780465832)
Original,4643 (2414),84.74283868188671 (-82.99159877824493),4096 (619),144.3885498046875 (-142.5019114165645),8346 (5739),114.29235561945842 (-112.316104288255)
Original,4664 (2393),86.02047598627787 (-84.2692360826361),4100 (615),146.19573170731707 (-144.30909331919406),8388 (5697),115.52891034811636 (-113.55265901691294)
Original,4681 (2376),87.38592181157873 (-85.63468190793695),4105 (610),147.9658952496955 (-146.0792568615725),8406 (5679),117.13674756126576 (-115.16049623006235)
Original,4874 (2183),85.03744357816988 (-83.28620367452811),4125 (590),148.8809696969697 (-146.99433130884668),8860 (5225),112.03047404063206 (-110.05422270942864)
Original,5002 (2055),84.37455017992802 (-82.62331027628625),4144 (571),150.1412886100386 (-148.2546502219156),9058 (5027),111.29603665268272 (-109.3197853214793)
Original,5026 (2031),85.6509152407481 (-83.89967533710633),4148 (567),151.94479267116682 (-150.05815428304382),9063 (5022),113.13682003751516 (-111.16056870631175)
Original,5075 (1982),86.5104433497537 (-84.75920344611193),4155 (560),153.6323706377858 (-151.7457322496628),9173 (4912),113.23274828300447 (-111.25649695180105)
Original,5114 (1943),87.54301916308174 (-85.79177925943996),4157 (558),155.50072167428434 (-153.61408328616133),9241 (4844),114.28011037766476 (-112.30385904646134)
Original,5139 (1918),88.78916131543102 (-87.03792141178924),4169 (546),157.00371791796593 (-155.11707952984293),9428 (4657),113.65178192617735 (-111.67553059497394)
Original,5144 (1913),90.3786936236392 (-88.62745371999742),4171 (544),158.87508990649724 (-156.98845151837423),9430 (4655),115.54241781548251 (-113.5661664842791)
Original,5180 (1877),91.3807915057915 (-89.62955160214973),4171 (544),160.81970750419563 (-158.93306911607263),9562 (4523),115.85625392177369 (-113.88000259057027)
Original,5194 (1863),92.7492298806315 (-90.99798997698973),4171 (544),162.76432510189403 (-160.87768671377103),9581 (4504),117.3730299551195 (-115.39677862391609)
Original,5197 (1860),94.36617279199538 (-92.61493288835361),4176 (539),164.5177203065134 (-162.6310819183904),9583 (4502),119.26740060523845 (-117.29114927403504)
Original,5208 (1849),95.8365975422427 (-94.08535763860093),4178 (537),166.38427477261848 (-164.49763638449548),9605 (4480),120.7762103071317 (-118.79995897592829)
Original,5220 (1837),97.29952107279694 (-95.54828116915516),4181 (534),168.2099976082277 (-166.3233592201047),9618 (4467),122.53332293616137 (-120.55707160495795)
Original,5233 (1824),98.7446971144659 (-96.99345721082412),4183 (532),170.07530480516377 (-168.18866641704076),9636 (4449),124.22130552096306 (-122.24505418975964)
Original,5235 (1822),100.34183381088825 (-98.59059390724647),4183 (532),172.01984221850347 (-170.13320383038047),9665 (4420),125.66611484738748 (-123.68986351618406)
Original,5241 (1816),101.91270749856898 (-100.1614675949272),4185 (530),173.88124253285542 (-171.99460414473242),9670 (4415),127.51975180972079 (-125.54350047851737)
Original,5250 (1807),103.42685714285714 (-101.67561723921537),4190 (525),175.62147971360383 (-173.73484132548083),9677 (4408),129.34747339051358 (-127.37122205931017)
Original,5250 (1807),105.11171428571429 (-103.36047438207251),4198 (517),177.23666031443545 (-175.35002192631245),9678 (4407),131.253151477578 (-129.2769001463746)
