Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,26581,7057,4715,14085,724
Original,13309 (13272; 49.9%),2925 (4132; 58.6%),3472 (1243; 26.4%),6449 (7636; 54.2%),463 (261; 36.0%)
Original,13431 (13150; 49.5%),2957 (4100; 58.1%),3475 (1240; 26.3%),6528 (7557; 53.7%),471 (253; 34.9%)
Original,13464 (13117; 49.3%),2982 (4075; 57.7%),3479 (1236; 26.2%),6532 (7553; 53.6%),471 (253; 34.9%)
Original,13469 (13112; 49.3%),2987 (4070; 57.7%),3479 (1236; 26.2%),6532 (7553; 53.6%),471 (253; 34.9%)
Original,13677 (12904; 48.5%),3033 (4024; 57.0%),3512 (1203; 25.5%),6650 (7435; 52.8%),482 (242; 33.4%)
Original,13691 (12890; 48.5%),3042 (4015; 56.9%),3517 (1198; 25.4%),6650 (7435; 52.8%),482 (242; 33.4%)
Original,13772 (12809; 48.2%),3085 (3972; 56.3%),3526 (1189; 25.2%),6679 (7406; 52.6%),482 (242; 33.4%)
Original,13849 (12732; 47.9%),3101 (3956; 56.1%),3530 (1185; 25.1%),6734 (7351; 52.2%),484 (240; 33.1%)
Original,13918 (12663; 47.6%),3124 (3933; 55.7%),3531 (1184; 25.1%),6779 (7306; 51.9%),484 (240; 33.1%)
Original,13928 (12653; 47.6%),3126 (3931; 55.7%),3531 (1184; 25.1%),6787 (7298; 51.8%),484 (240; 33.1%)
Original,13946 (12635; 47.5%),3130 (3927; 55.6%),3538 (1177; 25.0%),6794 (7291; 51.8%),484 (240; 33.1%)
Original,14055 (12526; 47.1%),3165 (3892; 55.2%),3551 (1164; 24.7%),6855 (7230; 51.3%),484 (240; 33.1%)
Original,14249 (12332; 46.4%),3181 (3876; 54.9%),3554 (1161; 24.6%),7027 (7058; 50.1%),487 (237; 32.7%)
Original,14334 (12247; 46.1%),3202 (3855; 54.6%),3556 (1159; 24.6%),7089 (6996; 49.7%),487 (237; 32.7%)
Original,14342 (12239; 46.0%),3208 (3849; 54.5%),3558 (1157; 24.5%),7089 (6996; 49.7%),487 (237; 32.7%)
Original,14349 (12232; 46.0%),3210 (3847; 54.5%),3562 (1153; 24.5%),7089 (6996; 49.7%),488 (236; 32.6%)
Original,14381 (12200; 45.9%),3232 (3825; 54.2%),3564 (1151; 24.4%),7096 (6989; 49.6%),489 (235; 32.5%)
Original,14603 (11978; 45.1%),3320 (3737; 53.0%),3577 (1138; 24.1%),7217 (6868; 48.8%),489 (235; 32.5%)
Original,14934 (11647; 43.8%),3463 (3594; 50.9%),3693 (1022; 21.7%),7289 (6796; 48.2%),489 (235; 32.5%)
Original,15910 (10671; 40.1%),4049 (3008; 42.6%),3900 (815; 17.3%),7469 (6616; 47.0%),492 (232; 32.0%)
Original,15961 (10620; 40.0%),4052 (3005; 42.6%),3904 (811; 17.2%),7513 (6572; 46.7%),492 (232; 32.0%)
Original,16089 (10492; 39.5%),4102 (2955; 41.9%),3912 (803; 17.0%),7583 (6502; 46.2%),492 (232; 32.0%)
Original,16185 (10396; 39.1%),4135 (2922; 41.4%),3918 (797; 16.9%),7631 (6454; 45.8%),501 (223; 30.8%)
Original,16257 (10324; 38.8%),4143 (2914; 41.3%),3930 (785; 16.6%),7679 (6406; 45.5%),505 (219; 30.2%)
Original,16563 (10018; 37.7%),4193 (2864; 40.6%),3983 (732; 15.5%),7874 (6211; 44.1%),513 (211; 29.1%)
Original,16691 (9890; 37.2%),4203 (2854; 40.4%),3989 (726; 15.4%),7970 (6115; 43.4%),529 (195; 26.9%)
Original,16841 (9740; 36.6%),4210 (2847; 40.3%),3991 (724; 15.4%),8110 (5975; 42.4%),530 (194; 26.8%)
Original,16887 (9694; 36.5%),4223 (2834; 40.2%),3993 (722; 15.3%),8141 (5944; 42.2%),530 (194; 26.8%)
Original,17003 (9578; 36.0%),4295 (2762; 39.1%),4013 (702; 14.9%),8164 (5921; 42.0%),531 (193; 26.7%)
Original,17029 (9552; 35.9%),4310 (2747; 38.9%),4019 (696; 14.8%),8169 (5916; 42.0%),531 (193; 26.7%)
Original,17070 (9511; 35.8%),4313 (2744; 38.9%),4019 (696; 14.8%),8206 (5879; 41.7%),532 (192; 26.5%)
Original,17122 (9459; 35.6%),4342 (2715; 38.5%),4034 (681; 14.4%),8211 (5874; 41.7%),535 (189; 26.1%)
Original,17169 (9412; 35.4%),4368 (2689; 38.1%),4039 (676; 14.3%),8227 (5858; 41.6%),535 (189; 26.1%)
Original,17414 (9167; 34.5%),4519 (2538; 36.0%),4073 (642; 13.6%),8284 (5801; 41.2%),538 (186; 25.7%)
Original,17499 (9082; 34.2%),4556 (2501; 35.4%),4085 (630; 13.4%),8319 (5766; 40.9%),539 (185; 25.6%)
Original,17530 (9051; 34.1%),4579 (2478; 35.1%),4085 (630; 13.4%),8327 (5758; 40.9%),539 (185; 25.6%)
Original,17557 (9024; 33.9%),4596 (2461; 34.9%),4090 (625; 13.3%),8332 (5753; 40.8%),539 (185; 25.6%)
Original,17568 (9013; 33.9%),4604 (2453; 34.8%),4092 (623; 13.2%),8332 (5753; 40.8%),540 (184; 25.4%)
Original,17626 (8955; 33.7%),4643 (2414; 34.2%),4096 (619; 13.1%),8346 (5739; 40.7%),541 (183; 25.3%)
Original,17693 (8888; 33.4%),4664 (2393; 33.9%),4100 (615; 13.0%),8388 (5697; 40.4%),541 (183; 25.3%)
Original,17736 (8845; 33.3%),4681 (2376; 33.7%),4105 (610; 12.9%),8406 (5679; 40.3%),544 (180; 24.9%)
Original,18410 (8171; 30.7%),4874 (2183; 30.9%),4125 (590; 12.5%),8860 (5225; 37.1%),551 (173; 23.9%)
Original,18756 (7825; 29.4%),5002 (2055; 29.1%),4144 (571; 12.1%),9058 (5027; 35.7%),552 (172; 23.8%)
Original,18789 (7792; 29.3%),5026 (2031; 28.8%),4148 (567; 12.0%),9063 (5022; 35.7%),552 (172; 23.8%)
Original,18958 (7623; 28.7%),5075 (1982; 28.1%),4155 (560; 11.9%),9173 (4912; 34.9%),555 (169; 23.3%)
Original,19067 (7514; 28.3%),5114 (1943; 27.5%),4157 (558; 11.8%),9241 (4844; 34.4%),555 (169; 23.3%)
Original,19293 (7288; 27.4%),5139 (1918; 27.2%),4169 (546; 11.6%),9428 (4657; 33.1%),557 (167; 23.1%)
