Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,1065 (4995),38.53145539906103 (-36.88549830335146),1267 (553),67.50828729281768 (-65.63740817193856),1366 (3830),52.89458272327965 (-51.41950574098558)
Original,1084 (4976),39.24861623616236 (-37.60265914045279),1267 (553),69.21073401736385 (-67.33985489648472),1377 (3819),53.95424836601307 (-52.479171383719)
Original,1090 (4970),40.41467889908257 (-38.768721803373),1267 (553),70.91318074191003 (-69.0423016210309),1377 (3819),55.42774146695715 (-53.95266448466308)
Original,1111 (4949),41.04050405040504 (-39.39454695469547),1267 (553),72.61562746645619 (-70.74474834557707),1385 (3811),56.6101083032491 (-55.13503132095503)
Original,1124 (4936),41.87277580071174 (-40.226818705002174),1267 (553),74.31807419100237 (-72.44719507012324),1385 (3811),58.09386281588448 (-56.61878583359041)
Original,1169 (4891),41.7382378100941 (-40.09228071438453),1269 (551),75.90701339637509 (-74.03613427549597),1388 (3808),59.44956772334294 (-57.97449074104887)
Original,1212 (4848),41.71782178217822 (-40.07186468646865),1269 (551),77.60992907801419 (-75.73904995713507),1399 (3797),60.48177269478199 (-59.00669571248792)
Original,1226 (4834),42.70269168026101 (-41.05673458455144),1269 (551),79.31284475965327 (-77.44196563877415),1400 (3796),61.92214285714286 (-60.44706587484879)
Original,1231 (4829),43.989033306255074 (-42.343076210545505),1273 (547),80.77769049489395 (-78.90681137401482),1400 (3796),63.40571428571429 (-61.93063730342022)
Original,1239 (4821),45.15859564164649 (-43.51263854593692),1273 (547),82.4835035349568 (-80.61262441407767),1408 (3788),64.53196022727273 (-63.056883244978664)
Original,1263 (4797),45.78661916072843 (-44.14066206501886),1273 (547),84.18931657501963 (-82.31843745414051),1416 (3780),65.65536723163842 (-64.18029024934435)
Original,1268 (4792),47.06269716088328 (-45.41674006517371),1275 (545),85.76980392156862 (-83.8989248006895),1419 (3777),66.99506694855532 (-65.51998996626125)
Original,1282 (4778),48.011310452418094 (-46.365353356708525),1275 (545),87.47764705882354 (-85.60676793794441),1426 (3770),68.14446002805049 (-66.66938304575642)
Original,1327 (4733),47.89261492087415 (-46.24665782516458),1281 (539),88.79586260733802 (-86.9249834864589),1456 (3740),68.2290521978022 (-66.75397521550813)
Original,1331 (4729),49.203606311044325 (-47.557649215334756),1282 (538),90.44071762870514 (-88.56983850782602),1468 (3728),69.15088555858311 (-67.67580857628904)
Original,1374 (4686),49.12409024745269 (-47.47813315174312),1282 (538),92.15405616224649 (-90.28317704136737),1480 (3716),70.05033783783784 (-68.57526085554377)
Original,1458 (4602),47.864197530864196 (-46.21824043515463),1288 (532),93.46894409937889 (-91.59806497849976),1518 (3678),69.67687747035573 (-68.20180048806166)
Original,1481 (4579),48.60229574611749 (-46.95633865040792),1288 (532),95.19526397515529 (-93.32438485427616),1518 (3678),71.13076416337286 (-69.65568718107879)
Original,1487 (4573),49.87794216543376 (-48.23198506972419),1295 (525),96.41312741312741 (-94.54224829224829),1518 (3678),72.58465085638998 (-71.10957387409591)
Original,1506 (4554),50.72476759628154 (-49.07881050057197),1306 (514),97.32427258805512 (-95.453393467176),1518 (3678),74.03853754940711 (-72.56346056711304)
Original,1521 (4539),51.71301775147929 (-50.06706065576972),1306 (514),99.04096477794793 (-97.17008565706881),1533 (3663),74.79093281148076 (-73.31585582918669)
Original,1525 (4535),53.048852459016395 (-51.402895363306826),1308 (512),100.6158256880734 (-98.74494656719428),1550 (3646),75.34838709677419 (-73.87331011448012)
Original,1536 (4524),54.134114583333336 (-52.488157487623766),1313 (507),101.95849200304646 (-100.08761288216733),1550 (3646),76.81096774193549 (-75.33589075964142)
Original,1575 (4485),54.287301587301585 (-52.641344491592015),1314 (506),103.60083713850837 (-101.72995801762924),1554 (3642),77.93371943371943 (-76.45864245142536)
Original,1635 (4425),53.82752293577982 (-52.18156584007025),1321 (499),104.76797880393642 (-102.89709968305729),1576 (3620),78.3261421319797 (-76.85106514968562)
Original,1642 (4418),55.07704019488429 (-53.43108309917472),1321 (499),106.48183194549584 (-104.61095282461672),1576 (3620),79.79060913705584 (-78.31553215476177)
Original,1677 (4383),55.459749552772806 (-53.813792457063236),1326 (494),107.81862745098039 (-105.94774833010126),1644 (3552),78.01703163017032 (-76.54195464787625)
Original,1715 (4345),55.756268221574345 (-54.110311125864776),1326 (494),109.54147812971343 (-107.6705990088343),1662 (3534),78.64560770156439 (-77.17053071927032)
Original,1718 (4342),57.14813736903376 (-55.50218027332419),1326 (494),111.26432880844645 (-109.39344968756733),1672 (3524),79.64264354066985 (-78.16756655837578)
Original,1725 (4335),58.40753623188406 (-56.76157913617449),1326 (494),112.98717948717949 (-111.11630036630036),1680 (3516),80.72619047619048 (-79.25111349389641)
Original,1735 (4325),59.55821325648415 (-57.91225616077458),1329 (491),114.4691497366441 (-112.59827061576497),1687 (3509),81.84854771784232 (-80.37347073554825)
Original,1744 (4316),60.74053899082569 (-59.09458189511612),1330 (490),116.11879699248121 (-114.24791787160208),1687 (3509),83.30320094842916 (-81.8281239661351)
Original,1747 (4313),62.118775042930736 (-60.472817947221166),1330 (490),117.85 (-115.97912087912087),1702 (3494),84.03437132784958 (-82.55929434555551)
Original,1765 (4295),62.97337110481586 (-61.32741400910629),1340 (480),118.69514925373134 (-116.82427013285222),1706 (3490),85.30275498241501 (-83.82767800012094)
Original,1781 (4279),63.91521617069062 (-62.26925907498105),1340 (480),120.41828358208956 (-118.54740446121043),1722 (3474),85.99970963995354 (-84.52463265765947)
Original,1794 (4266),64.94816053511705 (-63.302203439407485),1341 (479),122.05182699478001 (-120.18094787390089),1728 (3468),87.16984953703704 (-85.69477255474297)
