Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,4128 (1932),143.53803294573643 (-141.89207585002686),1618 (202),265.27163164400497 (-263.40075252312585),3507 (1689),160.91388651268892 (-159.43880953039485)
Original,4136 (1924),144.8521518375242 (-143.2061947418146),1618 (202),267.05995055624226 (-265.18907143536313),3508 (1688),162.37100912200685 (-160.89593213971278)
Original,4150 (1910),145.96 (-144.31404290429043),1620 (200),268.525 (-266.65412087912085),3524 (1672),163.15635641316686 (-161.6812794308728)
Original,4167 (1893),146.9134869210463 (-145.26752982533674),1620 (200),270.3154320987654 (-268.4445529778863),3530 (1666),164.38923512747874 (-162.91415814518467)
Original,4176 (1884),148.19049329501917 (-146.5445361993096),1621 (199),271.93861813695247 (-270.06773901607335),3541 (1655),165.39028523016097 (-163.9152082478669)
Original,4185 (1875),149.46678614097968 (-147.8208290452701),1624 (196),273.2496921182266 (-271.3788129973475),3544 (1652),166.7584650112867 (-165.28338802899262)
Original,4196 (1864),150.6487130600572 (-149.0027559643476),1624 (196),275.04956896551727 (-273.17868984463814),3553 (1643),167.84238671545174 (-166.36730973315767)
Original,4298 (1762),148.6966030711959 (-147.05064597548633),1641 (179),274.0228519195612 (-272.1519727986821),3588 (1608),167.73467112597547 (-166.2595941436814)
Original,4328 (1732),149.2665203327172 (-147.62056323700762),1641 (179),275.82480195003046 (-273.95392282915134),3589 (1607),168.82794650320423 (-167.35286952091016)
Original,4360 (1700),149.6822247706422 (-148.03626767493262),1641 (179),277.6267519804997 (-275.7558728596206),3602 (1594),169.7318156579678 (-168.25673867567372)
Original,4415 (1645),149.4361268403171 (-147.7901697446075),1644 (176),278.93582725060827 (-277.06494812972915),3621 (1575),170.35086992543495 (-168.87579294314088)
Original,4428 (1632),150.57633242999097 (-148.9303753342814),1645 (175),280.57355623100307 (-278.70267711012394),3628 (1568),171.52563395810364 (-170.05055697580957)
Original,4442 (1618),151.6966456551103 (-150.05068855940073),1645 (175),282.3802431610942 (-280.5093640402151),3628 (1568),173.02852811466371 (-171.55345113236964)
Original,4454 (1606),152.83441850022453 (-151.18846140451495),1645 (175),284.1869300911854 (-282.31605097030626),3629 (1567),174.48443097271976 (-173.0093539904257)
Original,4461 (1599),153.92770679219905 (-152.28174969648947),1648 (172),285.47421116504853 (-283.6033320441694),3636 (1560),175.65772827282728 (-174.18265129053322)
Original,4471 (1589),155.17054350257214 (-153.52458640686257),1648 (172),287.27821601941747 (-285.40733689853835),3641 (1555),176.92927767096953 (-175.45420068867546)
Original,4490 (1570),156.11815144766146 (-154.47219435195188),1648 (172),289.0822208737864 (-287.2113417529073),3647 (1549),178.15382506169453 (-176.67874807940046)
Original,4497 (1563),157.35835001111852 (-155.71239291540894),1648 (172),290.56401699029124 (-288.6931378694121),3649 (1547),179.56906001644285 (-178.09398303414878)
Original,4519 (1541),158.13100243416685 (-156.48504533845727),1648 (172),292.3680218446602 (-290.49714272378105),3698 (1498),178.7328285559762 (-177.25775157368213)
Original,4531 (1529),159.32090046347383 (-157.67494336776426),1649 (171),294.0009096422074 (-292.13003052132825),3709 (1487),179.72607171744406 (-178.25099473515)
Original,4590 (1470),158.9090413943355 (-157.26308429862593),1649 (171),295.80745906610065 (-293.9365799452215),3715 (1481),180.9535666218035 (-179.47848963950943)
Original,4596 (1464),160.3159268929504 (-158.6699697972408),1649 (171),297.6140084899939 (-295.7431293691148),3717 (1479),182.37207425343018 (-180.89699727113612)
Original,4604 (1456),161.6498696785404 (-160.00391258283082),1649 (171),299.4205579138872 (-297.54967879300807),3717 (1479),183.8879472693032 (-182.41287028700913)
Original,4619 (1441),162.64483654470664 (-160.99887944899706),1650 (170),301.0457575757576 (-299.17487845487847),3727 (1469),184.90850550040247 (-183.4334285181084)
Original,4630 (1430),163.87397408207343 (-162.22801698636385),1650 (170),302.8518181818182 (-300.9809390609391),3733 (1463),186.12389499062417 (-184.6488180083301)
Original,4632 (1428),165.30073402417963 (-163.65477692847006),1650 (170),304.6578787878788 (-302.7869996669997),3746 (1450),186.99199145755472 (-185.51691447526065)
Original,4637 (1423),166.73334052188915 (-165.08738342617957),1650 (170),306.46393939393937 (-304.59306027306025),3746 (1450),188.50213561131875 (-187.02705862902468)
Original,4653 (1407),167.77272727272728 (-166.1267701770177),1650 (170),308.27 (-306.39912087912086),3754 (1442),189.61534363345766 (-188.14026665116359)
Original,4658 (1402),168.88503649635035 (-167.23907940064078),1651 (169),309.89672925499696 (-308.02585013411783),3763 (1433),190.67632208344406 (-189.20124510115)
Original,4663 (1397),170.3159982843663 (-168.6700411886567),1655 (165),310.9646525679758 (-309.0937734470967),3771 (1425),191.78480509148767 (-190.3097281091936)
Original,4665 (1395),171.8539121114684 (-170.2079550157588),1655 (165),312.77552870090636 (-310.90464958002724),3779 (1417),192.88885948663668 (-191.4137825043426)
Original,4671 (1389),173.24459430528793 (-171.59863720957836),1657 (163),314.21092335546166 (-312.34004423458254),3781 (1415),194.29595345146785 (-192.82087646917378)
Original,4681 (1379),174.48857081820123 (-172.84261372249165),1660 (160),315.4674698795181 (-313.59659075863897),3785 (1411),195.54306472919419 (-194.06798774690012)
Original,4683 (1377),176.02391629297458 (-174.377959197265),1660 (160),317.28343373493976 (-315.41255461406064),3804 (1392),196.08017875920083 (-194.60510177690676)
Original,4686 (1374),177.52134016218523 (-175.87538306647565),1660 (160),319.09939759036143 (-317.2285184694823),3804 (1392),197.58753943217667 (-196.1124624498826)
Original,4749 (1311),176.80922299431458 (-175.163265898605),1668 (152),319.3989808153477 (-317.5281016944686),3869 (1327),195.79296975962782 (-194.31789277733375)
Original,4760 (1300),178.02216386554622 (-176.37620676983664),1669 (151),321.02516476932294 (-319.1542856484438),3876 (1320),196.95072239422083 (-195.47564541192676)
Original,4760 (1300),179.63886554621848 (-177.9929084505089),1669 (151),322.8427201917316 (-320.97184107085246),3883 (1313),198.10751995879474 (-196.63244297650067)
Original,4780 (1280),180.51725941422595 (-178.87130231851637),1682 (138),322.19143876337694 (-320.3205596424978),3890 (1306),199.2672236503856 (-197.79214666809153)
Original,4813 (1247),180.9130479950135 (-179.26709089930392),1682 (138),324.0151605231867 (-322.14428140230757),3937 (1259),198.37782575565151 (-196.90274877335744)
Original,4831 (1229),181.8674187538812 (-180.22146165817162),1682 (138),325.83888228299645 (-323.9680031621173),3947 (1249),199.383329110717 (-197.90825212842293)
Original,4813 (1247),184.15967172241844 (-182.51371462670886),1682 (138),327.6626040428062 (-325.7917249219271),3937 (1259),201.38950977901956 (-199.9144327967255)
