Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
Original,5532,0.4%,2187,0.8%,1375,0.0%,1882,0.2%
Original,5576,0.4%,2224,0.8%,1375,0.0%,1889,0.2%
Original,5640,0.4%,2273,0.7%,1388,0.0%,1891,0.2%
Original,5688,0.4%,2312,0.7%,1388,0.0%,1900,0.2%
Original,6115,0.3%,2553,0.7%,1432,0.0%,2042,0.1%
Original,6953,0.3%,2731,0.6%,1455,0.0%,2660,0.1%
Original,6965,0.3%,2743,0.6%,1455,0.0%,2660,0.1%
Original,6966,0.3%,2743,0.6%,1455,0.0%,2661,0.1%
Original,6999,0.3%,2766,0.6%,1455,0.0%,2671,0.1%
Original,7034,0.3%,2780,0.6%,1461,0.0%,2686,0.1%
Original,7038,0.3%,2784,0.6%,1461,0.0%,2686,0.1%
Original,7051,0.3%,2788,0.6%,1461,0.0%,2695,0.1%
Original,7059,0.3%,2796,0.6%,1461,0.0%,2695,0.1%
Original,7069,0.3%,2806,0.6%,1461,0.0%,2695,0.1%
Original,7071,0.3%,2808,0.6%,1461,0.0%,2695,0.1%
Original,7078,0.3%,2808,0.6%,1461,0.0%,2702,0.1%
Original,7325,0.3%,2995,0.6%,1463,0.0%,2759,0.1%
Original,7351,0.3%,3002,0.6%,1464,0.0%,2773,0.1%
Original,7366,0.3%,3008,0.6%,1465,0.0%,2781,0.1%
Original,7462,0.3%,3033,0.6%,1512,0.0%,2805,0.1%
Original,7500,0.3%,3057,0.6%,1514,0.0%,2817,0.1%
Original,7628,0.3%,3135,0.5%,1531,0.0%,2849,0.1%
Original,7701,0.3%,3198,0.6%,1536,0.0%,2854,0.1%
Original,7716,0.3%,3204,0.6%,1536,0.0%,2863,0.1%
Original,7776,0.3%,3215,0.6%,1536,0.0%,2912,0.1%
Original,7781,0.3%,3220,0.6%,1536,0.0%,2912,0.1%
Original,7818,0.3%,3242,0.6%,1542,0.0%,2921,0.1%
Original,7836,0.3%,3256,0.6%,1542,0.0%,2925,0.1%
Original,7878,0.3%,3270,0.6%,1543,0.0%,2952,0.1%
Original,7900,0.3%,3288,0.6%,1543,0.0%,2956,0.1%
Original,7922,0.3%,3307,0.6%,1543,0.0%,2959,0.1%
Original,7934,0.3%,3319,0.6%,1543,0.0%,2959,0.1%
Original,7962,0.3%,3347,0.6%,1543,0.0%,2959,0.1%
Original,7975,0.3%,3358,0.6%,1543,0.0%,2961,0.1%
Original,7987,0.3%,3361,0.6%,1545,0.0%,2968,0.1%
Original,8003,0.3%,3377,0.6%,1545,0.0%,2968,0.1%
Original,8026,0.3%,3400,0.6%,1545,0.0%,2968,0.1%
Original,8056,0.3%,3428,0.6%,1547,0.0%,2968,0.1%
Original,8061,0.3%,3431,0.6%,1549,0.0%,2968,0.1%
Original,8073,0.3%,3434,0.6%,1550,0.0%,2976,0.1%
Original,8084,0.3%,3445,0.6%,1550,0.0%,2976,0.1%
Original,8098,0.3%,3450,0.6%,1550,0.0%,2983,0.1%
Original,8113,0.3%,3455,0.5%,1552,0.0%,2991,0.1%
Original,8127,0.3%,3461,0.5%,1552,0.0%,2999,0.1%
Original,8147,0.3%,3481,0.5%,1552,0.0%,2999,0.1%
Original,8179,0.3%,3502,0.5%,1552,0.0%,3009,0.1%
Original,8196,0.3%,3517,0.5%,1552,0.0%,3011,0.1%
Original,8216,0.3%,3535,0.5%,1552,0.0%,3013,0.1%
Original,8226,0.3%,3541,0.5%,1552,0.0%,3017,0.1%
Original,8232,0.3%,3545,0.5%,1552,0.0%,3019,0.1%
Original,8255,0.3%,3554,0.5%,1555,0.0%,3030,0.1%
Original,8268,0.3%,3558,0.5%,1555,0.0%,3039,0.1%
Original,8346,0.3%,3598,0.5%,1563,0.0%,3068,0.1%
Original,8418,0.2%,3629,0.5%,1567,0.0%,3104,0.1%
Original,8456,0.2%,3667,0.5%,1567,0.0%,3104,0.1%
Original,8489,0.2%,3679,0.5%,1568,0.0%,3124,0.1%
Original,8518,0.2%,3704,0.5%,1568,0.0%,3128,0.1%
Original,8526,0.2%,3709,0.5%,1568,0.0%,3131,0.1%
Original,8549,0.2%,3716,0.5%,1572,0.0%,3143,0.1%
Original,8565,0.2%,3725,0.5%,1572,0.0%,3150,0.1%
Original,8576,0.2%,3734,0.5%,1572,0.0%,3152,0.1%
Original,8591,0.2%,3744,0.5%,1572,0.0%,3157,0.1%
Original,8609,0.2%,3754,0.5%,1572,0.0%,3165,0.1%
Original,8668,0.2%,3764,0.5%,1574,0.0%,3212,0.1%
Original,8712,0.2%,3808,0.4%,1574,0.0%,3212,0.1%
Original,8743,0.2%,3825,0.4%,1574,0.0%,3226,0.1%
Original,8764,0.2%,3834,0.4%,1574,0.0%,3238,0.1%
Original,8776,0.2%,3840,0.4%,1574,0.0%,3244,0.1%
Original,8887,0.2%,3875,0.4%,1586,0.0%,3308,0.1%
Original,8895,0.2%,3875,0.4%,1586,0.0%,3316,0.1%
Original,8899,0.2%,3879,0.4%,1586,0.0%,3316,0.1%
Original,8899,0.2%,3879,0.4%,1586,0.0%,3316,0.1%
Original,8930,0.2%,3890,0.4%,1592,0.0%,3329,0.1%
Original,8965,0.2%,3892,0.4%,1592,0.0%,3362,0.1%
Original,9029,0.2%,3904,0.4%,1595,0.0%,3410,0.1%
Original,9093,0.2%,3921,0.4%,1596,0.0%,3456,0.1%
Original,9105,0.2%,3925,0.4%,1596,0.0%,3464,0.1%
Original,9136,0.2%,3942,0.4%,1596,0.0%,3478,0.1%
Original,9169,0.2%,3966,0.4%,1596,0.0%,3487,0.1%
Original,9217,0.2%,4010,0.4%,1599,0.0%,3488,0.1%
Original,9228,0.2%,4021,0.4%,1599,0.0%,3488,0.1%
Original,9348,0.2%,4112,0.4%,1618,0.0%,3497,0.1%
Original,9356,0.2%,4120,0.4%,1618,0.0%,3497,0.1%
Original,9374,0.2%,4128,0.4%,1618,0.0%,3507,0.1%
Original,9383,0.2%,4136,0.4%,1618,0.0%,3508,0.1%
Original,9415,0.2%,4150,0.4%,1620,0.0%,3524,0.1%
Original,9438,0.2%,4167,0.4%,1620,0.0%,3530,0.1%
Original,9459,0.2%,4176,0.4%,1621,0.0%,3541,0.1%
Original,9474,0.2%,4185,0.4%,1624,0.0%,3544,0.1%
Original,9494,0.2%,4196,0.4%,1624,0.0%,3553,0.1%
Original,9649,0.2%,4298,0.4%,1641,0.0%,3588,0.1%
Original,9680,0.2%,4328,0.4%,1641,0.0%,3589,0.0%
Original,9725,0.2%,4360,0.4%,1641,0.0%,3602,0.0%
Original,9802,0.2%,4415,0.4%,1644,0.0%,3621,0.0%
Original,9823,0.2%,4428,0.4%,1645,0.0%,3628,0.0%
Original,9837,0.2%,4442,0.4%,1645,0.0%,3628,0.0%
Original,9850,0.2%,4454,0.4%,1645,0.0%,3629,0.0%
Original,9867,0.2%,4461,0.3%,1648,0.0%,3636,0.0%
Original,9882,0.2%,4471,0.3%,1648,0.0%,3641,0.0%
Original,9907,0.2%,4490,0.3%,1648,0.0%,3647,0.0%
Original,9916,0.2%,4497,0.3%,1648,0.0%,3649,0.0%
Original,9987,0.2%,4519,0.3%,1648,0.0%,3698,0.0%
Original,10011,0.1%,4531,0.3%,1649,0.0%,3709,0.0%
Original,10077,0.1%,4590,0.3%,1649,0.0%,3715,0.0%
Original,10086,0.1%,4596,0.3%,1649,0.0%,3717,0.0%
Original,10094,0.1%,4604,0.3%,1649,0.0%,3717,0.0%
Original,10120,0.1%,4619,0.3%,1650,0.0%,3727,0.0%
Original,10137,0.1%,4630,0.3%,1650,0.0%,3733,0.0%
Original,10152,0.1%,4632,0.3%,1650,0.0%,3746,0.0%
Original,10157,0.1%,4637,0.3%,1650,0.0%,3746,0.0%
Original,10181,0.1%,4653,0.3%,1650,0.0%,3754,0.0%
Original,10196,0.1%,4658,0.3%,1651,0.0%,3763,0.0%
Original,10213,0.1%,4663,0.3%,1655,0.0%,3771,0.0%
Original,10223,0.1%,4665,0.3%,1655,0.0%,3779,0.0%
Original,10233,0.1%,4671,0.3%,1657,0.0%,3781,0.0%
Original,10250,0.1%,4681,0.3%,1660,0.0%,3785,0.0%
Original,10271,0.1%,4683,0.3%,1660,0.0%,3804,0.0%
Original,10274,0.1%,4686,0.3%,1660,0.0%,3804,0.0%
Original,10410,0.1%,4749,0.3%,1668,0.0%,3869,0.0%
Original,10429,0.1%,4760,0.3%,1669,0.0%,3876,0.0%
Original,10436,0.1%,4760,0.3%,1669,0.0%,3883,0.0%
Original,10476,0.1%,4780,0.3%,1682,0.0%,3890,0.0%
Original,10557,0.2%,4813,0.4%,1682,0.0%,3937,0.0%
Original,10585,0.2%,4831,0.4%,1682,0.0%,3947,0.0%
Original,10557,0.2%,4813,0.4%,1682,0.0%,3937,0.0%
