Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,1094 (740),66.25274223034735 (-64.49538127069631),373 (96),67.44369973190348 (-65.59082126708472),613 (1752),60.9184339314845 (-59.43027325495173)
Original,1101 (733),67.5558583106267 (-65.79849735097567),379 (90),68.13852242744063 (-66.28564396262188),661 (1704),58.162632375189105 (-56.67447169865633)
Original,1094 (740),69.70338208409507 (-67.94602112444403),373 (96),70.78954423592494 (-68.93666577110618),613 (1752),63.95432300163132 (-62.46616232509855)
Original,1134 (700),69.00881834215167 (-67.25145738250063),375 (94),72.08133333333333 (-70.22845486851458),613 (1752),65.47226753670473 (-63.98410686017196)
Original,1094 (740),73.15402193784278 (-71.39666097819175),373 (96),74.13538873994638 (-72.28251027512762),613 (1752),66.99021207177815 (-65.50205139524537)
Original,1024 (810),79.42333984375 (-77.66597888409896),366 (103),76.73224043715847 (-74.87936197233971),587 (1778),71.25638841567292 (-69.76822773914014)
Original,1012 (822),81.66946640316206 (-79.91210544351102),365 (104),78.57671232876713 (-76.72383386394837),585 (1780),73.04957264957265 (-71.56141197303988)
Original,1036 (798),81.6003861003861 (-79.84302514073507),367 (102),79.8283378746594 (-77.97545940984064),660 (1705),66.425 (-64.93683932346723)
Original,1047 (787),82.54011461318052 (-80.78275365352948),367 (102),81.46457765667574 (-79.61169919185699),660 (1705),67.85909090909091 (-66.37093023255814)
Original,1053 (781),83.7559354226021 (-81.99857446295105),367 (102),83.1008174386921 (-81.24793897387335),667 (1698),68.5839580209895 (-67.09579734445673)
Original,1066 (768),84.53048780487805 (-82.77312684522701),368 (101),84.51766304347827 (-82.6647845786595),675 (1690),69.2325925925926 (-67.74443191605982)
Original,1071 (763),85.90943043884221 (-84.15206947919117),370 (99),85.72972972972973 (-83.87685126491097),688 (1677),69.41424418604652 (-67.92608350951375)
Original,1077 (757),87.02878365831012 (-85.27142269865908),370 (99),87.36621621621622 (-85.51333775139746),688 (1677),70.83430232558139 (-69.34614164904862)
Original,1079 (755),88.62511584800741 (-86.86775488835637),370 (99),89.0027027027027 (-87.14982423788395),707 (1658),70.4002828854314 (-68.91212220889862)
Original,1121 (713),87.22435325602142 (-85.46699229637038),370 (99),90.6391891891892 (-88.78631072437044),707 (1658),71.82602545968882 (-70.33786478315605)
Original,1131 (703),88.30327144120247 (-86.54591048155143),370 (99),92.27567567567567 (-90.42279721085691),707 (1658),73.25176803394625 (-71.76360735741348)
Original,1142 (692),89.08143607705779 (-87.32407511740675),370 (99),92.9472972972973 (-91.09441883247854),707 (1658),74.67751060820368 (-73.1893499316709)
Original,1162 (672),89.39888123924268 (-87.64152027959165),379 (90),92.43799472295514 (-90.58511625813638),714 (1651),75.38795518207283 (-73.89979450554006)
Original,1167 (667),90.84233076263925 (-89.08496980298821),381 (88),93.61286089238845 (-91.7599824275697),740 (1625),74.19324324324324 (-72.70508256671047)
Original,1172 (662),92.28284982935153 (-90.5254888697005),381 (88),95.26246719160105 (-93.40958872678229),740 (1625),75.60878378378378 (-74.120623107251)
