Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,4744,1834,469,2365,76
Original,2148 (2596; 54.7%),1053 (781; 42.6%),367 (102; 21.7%),667 (1698; 71.8%),61 (15; 19.7%)
Original,2170 (2574; 54.3%),1066 (768; 41.9%),368 (101; 21.5%),675 (1690; 71.5%),61 (15; 19.7%)
Original,2190 (2554; 53.8%),1071 (763; 41.6%),370 (99; 21.1%),688 (1677; 70.9%),61 (15; 19.7%)
Original,2196 (2548; 53.7%),1077 (757; 41.3%),370 (99; 21.1%),688 (1677; 70.9%),61 (15; 19.7%)
Original,2217 (2527; 53.3%),1079 (755; 41.2%),370 (99; 21.1%),707 (1658; 70.1%),61 (15; 19.7%)
Original,2259 (2485; 52.4%),1121 (713; 38.9%),370 (99; 21.1%),707 (1658; 70.1%),61 (15; 19.7%)
Original,2269 (2475; 52.2%),1131 (703; 38.3%),370 (99; 21.1%),707 (1658; 70.1%),61 (15; 19.7%)
Original,2280 (2464; 51.9%),1142 (692; 37.7%),370 (99; 21.1%),707 (1658; 70.1%),61 (15; 19.7%)
Original,2316 (2428; 51.2%),1162 (672; 36.6%),379 (90; 19.2%),714 (1651; 69.8%),61 (15; 19.7%)
Original,2349 (2395; 50.5%),1167 (667; 36.4%),381 (88; 18.8%),740 (1625; 68.7%),61 (15; 19.7%)
Original,2354 (2390; 50.4%),1172 (662; 36.1%),381 (88; 18.8%),740 (1625; 68.7%),61 (15; 19.7%)
Original,2363 (2381; 50.2%),1181 (653; 35.6%),381 (88; 18.8%),740 (1625; 68.7%),61 (15; 19.7%)
Original,2392 (2352; 49.6%),1201 (633; 34.5%),390 (79; 16.8%),740 (1625; 68.7%),61 (15; 19.7%)
Original,2400 (2344; 49.4%),1207 (627; 34.2%),390 (79; 16.8%),742 (1623; 68.6%),61 (15; 19.7%)
Original,2411 (2333; 49.2%),1218 (616; 33.6%),390 (79; 16.8%),742 (1623; 68.6%),61 (15; 19.7%)
Original,2680 (2064; 43.5%),1260 (574; 31.3%),410 (59; 12.6%),949 (1416; 59.9%),61 (15; 19.7%)
Original,2691 (2053; 43.3%),1260 (574; 31.3%),412 (57; 12.2%),957 (1408; 59.5%),62 (14; 18.4%)
Original,2806 (1938; 40.9%),1268 (566; 30.9%),412 (57; 12.2%),1063 (1302; 55.1%),63 (13; 17.1%)
