Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
Original,1963, ,1742, ,101, ,104
Original,150,0.0%,34,0.0%,38,0.0%,72,0.0%
Original,298,0.0%,164,0.0%,47,0.0%,78,0.0%
Original,1910,0.0%,1691,0.0%,101,0.0%,102,0.0%
Original,1919,0.0%,1700,0.0%,101,0.0%,102,0.0%
Original,1910,0.0%,1691,0.0%,101,0.0%,102,0.0%
