Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
Original,9 of 11,32 of 35,16 of 17
Original,6 (3),13 (19),5 (11)
Original,6 (3),22 (10),7 (9)
Original,8 (1),32 (0),15 (1)
Original,8 (1),29 (3),12 (4)
Original,8 (1),29 (3),12 (4)
