Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
Original,2,2,3,0,0,1,8,0,0,0
Original,0 (2; 100.0%),1 (1; 50.0%),1 (2; 66.7%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),3 (5; 62.5%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
Original,2 (0; 0.0%),1 (1; 50.0%),2 (1; 33.3%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),3 (5; 62.5%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
Original,2 (0; 0.0%),2 (0; 0.0%),3 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),8 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
Original,2 (0; 0.0%),2 (0; 0.0%),3 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),8 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
Original,2 (0; 0.0%),2 (0; 0.0%),3 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),8 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
