Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
Original,7 of 11,20 of 35,7 of 17
Original,6 (1),9 (11),4 (3)
Original,6 (1),13 (7),5 (2)
Original,6 (1),9 (11),4 (3)
Original,6 (1),13 (7),5 (2)
Original,6 (1),14 (6),6 (1)
Original,6 (1),14 (6),6 (1)
Original,6 (1),14 (6),6 (1)
Original,6 (1),10 (10),5 (2)
Original,6 (1),9 (11),4 (3)
Original,6 (1),9 (11),4 (3)
