Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,10996,5275,2348,3190,183
Original,4673 (6323; 57.5%),1220 (4055; 76.9%),1656 (692; 29.5%),1680 (1510; 47.3%),117 (66; 36.1%)
Original,4686 (6310; 57.4%),1226 (4049; 76.8%),1656 (692; 29.5%),1687 (1503; 47.1%),117 (66; 36.1%)
Original,4688 (6308; 57.4%),1228 (4047; 76.7%),1656 (692; 29.5%),1687 (1503; 47.1%),117 (66; 36.1%)
Original,4724 (6272; 57.0%),1261 (4014; 76.1%),1656 (692; 29.5%),1690 (1500; 47.0%),117 (66; 36.1%)
Original,4759 (6237; 56.7%),1292 (3983; 75.5%),1656 (692; 29.5%),1694 (1496; 46.9%),117 (66; 36.1%)
Original,4910 (6086; 55.3%),1332 (3943; 74.7%),1662 (686; 29.2%),1798 (1392; 43.6%),118 (65; 35.5%)
Original,5015 (5981; 54.4%),1351 (3924; 74.4%),1664 (684; 29.1%),1877 (1313; 41.2%),123 (60; 32.8%)
Original,5050 (5946; 54.1%),1368 (3907; 74.1%),1667 (681; 29.0%),1892 (1298; 40.7%),123 (60; 32.8%)
Original,5092 (5904; 53.7%),1382 (3893; 73.8%),1667 (681; 29.0%),1919 (1271; 39.8%),124 (59; 32.2%)
Original,5107 (5889; 53.6%),1388 (3887; 73.7%),1669 (679; 28.9%),1926 (1264; 39.6%),124 (59; 32.2%)
Original,5136 (5860; 53.3%),1407 (3868; 73.3%),1669 (679; 28.9%),1936 (1254; 39.3%),124 (59; 32.2%)
Original,5168 (5828; 53.0%),1433 (3842; 72.8%),1674 (674; 28.7%),1936 (1254; 39.3%),125 (58; 31.7%)
Original,5202 (5794; 52.7%),1464 (3811; 72.2%),1674 (674; 28.7%),1939 (1251; 39.2%),125 (58; 31.7%)
Original,5217 (5779; 52.6%),1474 (3801; 72.1%),1679 (669; 28.5%),1939 (1251; 39.2%),125 (58; 31.7%)
Original,5250 (5746; 52.3%),1495 (3780; 71.7%),1682 (666; 28.4%),1946 (1244; 39.0%),127 (56; 30.6%)
Original,5264 (5732; 52.1%),1507 (3768; 71.4%),1682 (666; 28.4%),1948 (1242; 38.9%),127 (56; 30.6%)
Original,5268 (5728; 52.1%),1511 (3764; 71.4%),1682 (666; 28.4%),1948 (1242; 38.9%),127 (56; 30.6%)
Original,5270 (5726; 52.1%),1513 (3762; 71.3%),1682 (666; 28.4%),1948 (1242; 38.9%),127 (56; 30.6%)
Original,5293 (5703; 51.9%),1526 (3749; 71.1%),1692 (656; 27.9%),1948 (1242; 38.9%),127 (56; 30.6%)
Original,5303 (5693; 51.8%),1536 (3739; 70.9%),1692 (656; 27.9%),1948 (1242; 38.9%),127 (56; 30.6%)
Original,5327 (5669; 51.6%),1545 (3730; 70.7%),1692 (656; 27.9%),1963 (1227; 38.5%),127 (56; 30.6%)
Original,5379 (5617; 51.1%),1574 (3701; 70.2%),1692 (656; 27.9%),1986 (1204; 37.7%),127 (56; 30.6%)
Original,5400 (5596; 50.9%),1581 (3694; 70.0%),1705 (643; 27.4%),1986 (1204; 37.7%),128 (55; 30.1%)
Original,5420 (5576; 50.7%),1592 (3683; 69.8%),1708 (640; 27.3%),1992 (1198; 37.6%),128 (55; 30.1%)
Original,5434 (5562; 50.6%),1606 (3669; 69.6%),1708 (640; 27.3%),1992 (1198; 37.6%),128 (55; 30.1%)
Original,5439 (5557; 50.5%),1611 (3664; 69.5%),1708 (640; 27.3%),1992 (1198; 37.6%),128 (55; 30.1%)
Original,5462 (5534; 50.3%),1629 (3646; 69.1%),1708 (640; 27.3%),1997 (1193; 37.4%),128 (55; 30.1%)
Original,5469 (5527; 50.3%),1633 (3642; 69.0%),1708 (640; 27.3%),2000 (1190; 37.3%),128 (55; 30.1%)
Original,5471 (5525; 50.2%),1635 (3640; 69.0%),1708 (640; 27.3%),2000 (1190; 37.3%),128 (55; 30.1%)
Original,5483 (5513; 50.1%),1645 (3630; 68.8%),1710 (638; 27.2%),2000 (1190; 37.3%),128 (55; 30.1%)
Original,5487 (5509; 50.1%),1649 (3626; 68.7%),1710 (638; 27.2%),2000 (1190; 37.3%),128 (55; 30.1%)
Original,5492 (5504; 50.1%),1654 (3621; 68.6%),1710 (638; 27.2%),2000 (1190; 37.3%),128 (55; 30.1%)
Original,5496 (5500; 50.0%),1658 (3617; 68.6%),1710 (638; 27.2%),2000 (1190; 37.3%),128 (55; 30.1%)
Original,5532 (5464; 49.7%),1679 (3596; 68.2%),1722 (626; 26.7%),2002 (1188; 37.2%),129 (54; 29.5%)
Original,5539 (5457; 49.6%),1685 (3590; 68.1%),1723 (625; 26.6%),2002 (1188; 37.2%),129 (54; 29.5%)
Original,5548 (5448; 49.5%),1694 (3581; 67.9%),1723 (625; 26.6%),2002 (1188; 37.2%),129 (54; 29.5%)
Original,5561 (5435; 49.4%),1707 (3568; 67.6%),1723 (625; 26.6%),2002 (1188; 37.2%),129 (54; 29.5%)
Original,5588 (5408; 49.2%),1734 (3541; 67.1%),1723 (625; 26.6%),2002 (1188; 37.2%),129 (54; 29.5%)
Original,5604 (5392; 49.0%),1742 (3533; 67.0%),1730 (618; 26.3%),2003 (1187; 37.2%),129 (54; 29.5%)
Original,5612 (5384; 49.0%),1749 (3526; 66.8%),1730 (618; 26.3%),2004 (1186; 37.2%),129 (54; 29.5%)
Original,5613 (5383; 49.0%),1750 (3525; 66.8%),1730 (618; 26.3%),2004 (1186; 37.2%),129 (54; 29.5%)
Original,5626 (5370; 48.8%),1762 (3513; 66.6%),1731 (617; 26.3%),2004 (1186; 37.2%),129 (54; 29.5%)
Original,5636 (5360; 48.7%),1772 (3503; 66.4%),1731 (617; 26.3%),2004 (1186; 37.2%),129 (54; 29.5%)
Original,5670 (5326; 48.4%),1806 (3469; 65.8%),1731 (617; 26.3%),2004 (1186; 37.2%),129 (54; 29.5%)
Original,5738 (5258; 47.8%),1812 (3463; 65.6%),1732 (616; 26.2%),2064 (1126; 35.3%),130 (53; 29.0%)
Original,5753 (5243; 47.7%),1817 (3458; 65.6%),1734 (614; 26.1%),2072 (1118; 35.0%),130 (53; 29.0%)
Original,5770 (5226; 47.5%),1834 (3441; 65.2%),1734 (614; 26.1%),2072 (1118; 35.0%),130 (53; 29.0%)
Original,5772 (5224; 47.5%),1836 (3439; 65.2%),1734 (614; 26.1%),2072 (1118; 35.0%),130 (53; 29.0%)
Original,5778 (5218; 47.5%),1841 (3434; 65.1%),1734 (614; 26.1%),2073 (1117; 35.0%),130 (53; 29.0%)
Original,5800 (5196; 47.3%),1846 (3429; 65.0%),1734 (614; 26.1%),2083 (1107; 34.7%),137 (46; 25.1%)
Original,5802 (5194; 47.2%),1848 (3427; 65.0%),1734 (614; 26.1%),2083 (1107; 34.7%),137 (46; 25.1%)
Original,5811 (5185; 47.2%),1857 (3418; 64.8%),1734 (614; 26.1%),2083 (1107; 34.7%),137 (46; 25.1%)
Original,5830 (5166; 47.0%),1873 (3402; 64.5%),1737 (611; 26.0%),2083 (1107; 34.7%),137 (46; 25.1%)
Original,5856 (5140; 46.7%),1898 (3377; 64.0%),1738 (610; 26.0%),2083 (1107; 34.7%),137 (46; 25.1%)
Original,5865 (5131; 46.7%),1907 (3368; 63.8%),1738 (610; 26.0%),2083 (1107; 34.7%),137 (46; 25.1%)
Original,5906 (5090; 46.3%),1948 (3327; 63.1%),1738 (610; 26.0%),2083 (1107; 34.7%),137 (46; 25.1%)
Original,5920 (5076; 46.2%),1960 (3315; 62.8%),1740 (608; 25.9%),2083 (1107; 34.7%),137 (46; 25.1%)
Original,5945 (5051; 45.9%),1976 (3299; 62.5%),1748 (600; 25.6%),2084 (1106; 34.7%),137 (46; 25.1%)
Original,5955 (5041; 45.8%),1986 (3289; 62.4%),1748 (600; 25.6%),2084 (1106; 34.7%),137 (46; 25.1%)
Original,5961 (5035; 45.8%),1989 (3286; 62.3%),1751 (597; 25.4%),2084 (1106; 34.7%),137 (46; 25.1%)
Original,5974 (5022; 45.7%),1999 (3276; 62.1%),1753 (595; 25.3%),2085 (1105; 34.6%),137 (46; 25.1%)
Original,6001 (4995; 45.4%),2023 (3252; 61.6%),1756 (592; 25.2%),2085 (1105; 34.6%),137 (46; 25.1%)
Original,6022 (4974; 45.2%),2036 (3239; 61.4%),1757 (591; 25.2%),2087 (1103; 34.6%),142 (41; 22.4%)
Original,6057 (4939; 44.9%),2060 (3215; 60.9%),1759 (589; 25.1%),2096 (1094; 34.3%),142 (41; 22.4%)
Original,6173 (4823; 43.9%),2161 (3114; 59.0%),1759 (589; 25.1%),2111 (1079; 33.8%),142 (41; 22.4%)
Original,6192 (4804; 43.7%),2177 (3098; 58.7%),1759 (589; 25.1%),2112 (1078; 33.8%),144 (39; 21.3%)
Original,6195 (4801; 43.7%),2180 (3095; 58.7%),1759 (589; 25.1%),2112 (1078; 33.8%),144 (39; 21.3%)
Original,6207 (4789; 43.6%),2189 (3086; 58.5%),1762 (586; 25.0%),2112 (1078; 33.8%),144 (39; 21.3%)
Original,6225 (4771; 43.4%),2207 (3068; 58.2%),1762 (586; 25.0%),2112 (1078; 33.8%),144 (39; 21.3%)
Original,6235 (4761; 43.3%),2209 (3066; 58.1%),1762 (586; 25.0%),2120 (1070; 33.5%),144 (39; 21.3%)
Original,6241 (4755; 43.2%),2215 (3060; 58.0%),1762 (586; 25.0%),2120 (1070; 33.5%),144 (39; 21.3%)
Original,6250 (4746; 43.2%),2224 (3051; 57.8%),1762 (586; 25.0%),2120 (1070; 33.5%),144 (39; 21.3%)
Original,6254 (4742; 43.1%),2228 (3047; 57.8%),1762 (586; 25.0%),2120 (1070; 33.5%),144 (39; 21.3%)
Original,6265 (4731; 43.0%),2234 (3041; 57.6%),1762 (586; 25.0%),2125 (1065; 33.4%),144 (39; 21.3%)
Original,6335 (4661; 42.4%),2265 (3010; 57.1%),1766 (582; 24.8%),2160 (1030; 32.3%),144 (39; 21.3%)
Original,6438 (4558; 41.5%),2323 (2952; 56.0%),1773 (575; 24.5%),2198 (992; 31.1%),144 (39; 21.3%)
Original,6520 (4476; 40.7%),2362 (2913; 55.2%),1790 (558; 23.8%),2208 (982; 30.8%),160 (23; 12.6%)
Original,6611 (4385; 39.9%),2405 (2870; 54.4%),1824 (524; 22.3%),2222 (968; 30.3%),160 (23; 12.6%)
Original,6666 (4330; 39.4%),2451 (2824; 53.5%),1833 (515; 21.9%),2222 (968; 30.3%),160 (23; 12.6%)
Original,6667 (4329; 39.4%),2452 (2823; 53.5%),1833 (515; 21.9%),2222 (968; 30.3%),160 (23; 12.6%)
Original,6679 (4317; 39.3%),2456 (2819; 53.4%),1841 (507; 21.6%),2222 (968; 30.3%),160 (23; 12.6%)
Original,6683 (4313; 39.2%),2460 (2815; 53.4%),1841 (507; 21.6%),2222 (968; 30.3%),160 (23; 12.6%)
Original,6685 (4311; 39.2%),2462 (2813; 53.3%),1841 (507; 21.6%),2222 (968; 30.3%),160 (23; 12.6%)
Original,6696 (4300; 39.1%),2472 (2803; 53.1%),1842 (506; 21.6%),2222 (968; 30.3%),160 (23; 12.6%)
Original,6705 (4291; 39.0%),2476 (2799; 53.1%),1847 (501; 21.3%),2222 (968; 30.3%),160 (23; 12.6%)
Original,6746 (4250; 38.7%),2510 (2765; 52.4%),1854 (494; 21.0%),2222 (968; 30.3%),160 (23; 12.6%)
Original,6753 (4243; 38.6%),2517 (2758; 52.3%),1854 (494; 21.0%),2222 (968; 30.3%),160 (23; 12.6%)
Original,6782 (4214; 38.3%),2531 (2744; 52.0%),1869 (479; 20.4%),2222 (968; 30.3%),160 (23; 12.6%)
Original,6799 (4197; 38.2%),2547 (2728; 51.7%),1870 (478; 20.4%),2222 (968; 30.3%),160 (23; 12.6%)
Original,6819 (4177; 38.0%),2567 (2708; 51.3%),1870 (478; 20.4%),2222 (968; 30.3%),160 (23; 12.6%)
Original,6885 (4111; 37.4%),2603 (2672; 50.7%),1879 (469; 20.0%),2238 (952; 29.8%),165 (18; 9.8%)
Original,7030 (3966; 36.1%),2681 (2594; 49.2%),1900 (448; 19.1%),2283 (907; 28.4%),166 (17; 9.3%)
Original,7042 (3954; 36.0%),2688 (2587; 49.0%),1900 (448; 19.1%),2288 (902; 28.3%),166 (17; 9.3%)
Original,7184 (3812; 34.7%),2781 (2494; 47.3%),1900 (448; 19.1%),2336 (854; 26.8%),167 (16; 8.7%)
Original,7191 (3805; 34.6%),2788 (2487; 47.1%),1900 (448; 19.1%),2336 (854; 26.8%),167 (16; 8.7%)
Original,7194 (3802; 34.6%),2791 (2484; 47.1%),1900 (448; 19.1%),2336 (854; 26.8%),167 (16; 8.7%)
Original,7211 (3785; 34.4%),2802 (2473; 46.9%),1900 (448; 19.1%),2342 (848; 26.6%),167 (16; 8.7%)
Original,7255 (3741; 34.0%),2841 (2434; 46.1%),1901 (447; 19.0%),2346 (844; 26.5%),167 (16; 8.7%)
Original,7264 (3732; 33.9%),2850 (2425; 46.0%),1901 (447; 19.0%),2346 (844; 26.5%),167 (16; 8.7%)
Original,7284 (3712; 33.8%),2867 (2408; 45.6%),1904 (444; 18.9%),2346 (844; 26.5%),167 (16; 8.7%)
Original,7361 (3635; 33.1%),2942 (2333; 44.2%),1905 (443; 18.9%),2347 (843; 26.4%),167 (16; 8.7%)
Original,7449 (3547; 32.3%),3013 (2262; 42.9%),1919 (429; 18.3%),2350 (840; 26.3%),167 (16; 8.7%)
Original,7618 (3378; 30.7%),3111 (2164; 41.0%),1946 (402; 17.1%),2394 (796; 25.0%),167 (16; 8.7%)
Original,7635 (3361; 30.6%),3120 (2155; 40.9%),1946 (402; 17.1%),2402 (788; 24.7%),167 (16; 8.7%)
Original,7691 (3305; 30.1%),3149 (2126; 40.3%),1956 (392; 16.7%),2419 (771; 24.2%),167 (16; 8.7%)
Original,7752 (3244; 29.5%),3191 (2084; 39.5%),1964 (384; 16.4%),2429 (761; 23.9%),168 (15; 8.2%)
Original,7767 (3229; 29.4%),3202 (2073; 39.3%),1964 (384; 16.4%),2433 (757; 23.7%),168 (15; 8.2%)
Original,7776 (3220; 29.3%),3211 (2064; 39.1%),1964 (384; 16.4%),2433 (757; 23.7%),168 (15; 8.2%)
Original,7801 (3195; 29.1%),3232 (2043; 38.7%),1964 (384; 16.4%),2437 (753; 23.6%),168 (15; 8.2%)
Original,7805 (3191; 29.0%),3236 (2039; 38.7%),1964 (384; 16.4%),2437 (753; 23.6%),168 (15; 8.2%)
Original,7812 (3184; 29.0%),3238 (2037; 38.6%),1964 (384; 16.4%),2442 (748; 23.4%),168 (15; 8.2%)
Original,7837 (3159; 28.7%),3263 (2012; 38.1%),1964 (384; 16.4%),2442 (748; 23.4%),168 (15; 8.2%)
Original,7846 (3150; 28.6%),3272 (2003; 38.0%),1964 (384; 16.4%),2442 (748; 23.4%),168 (15; 8.2%)
Original,7853 (3143; 28.6%),3279 (1996; 37.8%),1964 (384; 16.4%),2442 (748; 23.4%),168 (15; 8.2%)
Original,8020 (2976; 27.1%),3402 (1873; 35.5%),2002 (346; 14.7%),2448 (742; 23.3%),168 (15; 8.2%)
Original,8026 (2970; 27.0%),3407 (1868; 35.4%),2003 (345; 14.7%),2448 (742; 23.3%),168 (15; 8.2%)
Original,8033 (2963; 26.9%),3413 (1862; 35.3%),2004 (344; 14.7%),2448 (742; 23.3%),168 (15; 8.2%)
Original,8042 (2954; 26.9%),3422 (1853; 35.1%),2004 (344; 14.7%),2448 (742; 23.3%),168 (15; 8.2%)
Original,8043 (2953; 26.9%),3423 (1852; 35.1%),2004 (344; 14.7%),2448 (742; 23.3%),168 (15; 8.2%)
Original,8051 (2945; 26.8%),3430 (1845; 35.0%),2005 (343; 14.6%),2448 (742; 23.3%),168 (15; 8.2%)
Original,8052 (2944; 26.8%),3431 (1844; 35.0%),2005 (343; 14.6%),2448 (742; 23.3%),168 (15; 8.2%)
Original,8065 (2931; 26.7%),3444 (1831; 34.7%),2005 (343; 14.6%),2448 (742; 23.3%),168 (15; 8.2%)
Original,8069 (2927; 26.6%),3445 (1830; 34.7%),2008 (340; 14.5%),2448 (742; 23.3%),168 (15; 8.2%)
Original,8100 (2896; 26.3%),3475 (1800; 34.1%),2008 (340; 14.5%),2449 (741; 23.2%),168 (15; 8.2%)
Original,8124 (2872; 26.1%),3496 (1779; 33.7%),2009 (339; 14.4%),2451 (739; 23.2%),168 (15; 8.2%)
Original,8159 (2837; 25.8%),3515 (1760; 33.4%),2009 (339; 14.4%),2467 (723; 22.7%),168 (15; 8.2%)
Original,8168 (2828; 25.7%),3517 (1758; 33.3%),2009 (339; 14.4%),2474 (716; 22.4%),168 (15; 8.2%)
Original,8175 (2821; 25.7%),3524 (1751; 33.2%),2009 (339; 14.4%),2474 (716; 22.4%),168 (15; 8.2%)
Original,8247 (2749; 25.0%),3569 (1706; 32.3%),2012 (336; 14.3%),2497 (693; 21.7%),169 (14; 7.7%)
Original,8299 (2697; 24.5%),3618 (1657; 31.4%),2015 (333; 14.2%),2497 (693; 21.7%),169 (14; 7.7%)
Original,8352 (2644; 24.0%),3667 (1608; 30.5%),2018 (330; 14.1%),2498 (692; 21.7%),169 (14; 7.7%)
Original,8472 (2524; 23.0%),3694 (1581; 30.0%),2018 (330; 14.1%),2590 (600; 18.8%),170 (13; 7.1%)
Original,8636 (2360; 21.5%),3790 (1485; 28.2%),2023 (325; 13.8%),2652 (538; 16.9%),171 (12; 6.6%)
Original,8725 (2271; 20.7%),3839 (1436; 27.2%),2040 (308; 13.1%),2675 (515; 16.1%),171 (12; 6.6%)
Original,8796 (2200; 20.0%),3891 (1384; 26.2%),2058 (290; 12.4%),2675 (515; 16.1%),172 (11; 6.0%)
Original,8807 (2189; 19.9%),3901 (1374; 26.0%),2058 (290; 12.4%),2676 (514; 16.1%),172 (11; 6.0%)
Original,8812 (2184; 19.9%),3906 (1369; 26.0%),2058 (290; 12.4%),2676 (514; 16.1%),172 (11; 6.0%)
Original,8816 (2180; 19.8%),3910 (1365; 25.9%),2058 (290; 12.4%),2676 (514; 16.1%),172 (11; 6.0%)
Original,8963 (2033; 18.5%),4042 (1233; 23.4%),2058 (290; 12.4%),2691 (499; 15.6%),172 (11; 6.0%)
Original,9075 (1921; 17.5%),4154 (1121; 21.3%),2058 (290; 12.4%),2691 (499; 15.6%),172 (11; 6.0%)
Original,9098 (1898; 17.3%),4170 (1105; 20.9%),2065 (283; 12.1%),2691 (499; 15.6%),172 (11; 6.0%)
Original,9106 (1890; 17.2%),4177 (1098; 20.8%),2065 (283; 12.1%),2691 (499; 15.6%),173 (10; 5.5%)
Original,9108 (1888; 17.2%),4179 (1096; 20.8%),2065 (283; 12.1%),2691 (499; 15.6%),173 (10; 5.5%)
Original,9118 (1878; 17.1%),4188 (1087; 20.6%),2066 (282; 12.0%),2691 (499; 15.6%),173 (10; 5.5%)
Original,9166 (1830; 16.6%),4208 (1067; 20.2%),2067 (281; 12.0%),2717 (473; 14.8%),174 (9; 4.9%)
Original,9168 (1828; 16.6%),4210 (1065; 20.2%),2067 (281; 12.0%),2717 (473; 14.8%),174 (9; 4.9%)
Original,9212 (1784; 16.2%),4231 (1044; 19.8%),2078 (270; 11.5%),2729 (461; 14.5%),174 (9; 4.9%)
Original,9223 (1773; 16.1%),4242 (1033; 19.6%),2078 (270; 11.5%),2729 (461; 14.5%),174 (9; 4.9%)
Original,9228 (1768; 16.1%),4247 (1028; 19.5%),2078 (270; 11.5%),2729 (461; 14.5%),174 (9; 4.9%)
Original,9303 (1693; 15.4%),4271 (1004; 19.0%),2081 (267; 11.4%),2776 (414; 13.0%),175 (8; 4.4%)
Original,9376 (1620; 14.7%),4327 (948; 18.0%),2083 (265; 11.3%),2791 (399; 12.5%),175 (8; 4.4%)
Original,9423 (1573; 14.3%),4366 (909; 17.2%),2090 (258; 11.0%),2792 (398; 12.5%),175 (8; 4.4%)
Original,9431 (1565; 14.2%),4374 (901; 17.1%),2090 (258; 11.0%),2792 (398; 12.5%),175 (8; 4.4%)
Original,9434 (1562; 14.2%),4377 (898; 17.0%),2090 (258; 11.0%),2792 (398; 12.5%),175 (8; 4.4%)
Original,9450 (1546; 14.1%),4387 (888; 16.8%),2090 (258; 11.0%),2798 (392; 12.3%),175 (8; 4.4%)
Original,9478 (1518; 13.8%),4392 (883; 16.7%),2090 (258; 11.0%),2821 (369; 11.6%),175 (8; 4.4%)
Original,9503 (1493; 13.6%),4401 (874; 16.6%),2091 (257; 10.9%),2836 (354; 11.1%),175 (8; 4.4%)
Original,9546 (1450; 13.2%),4410 (865; 16.4%),2097 (251; 10.7%),2864 (326; 10.2%),175 (8; 4.4%)
Original,9557 (1439; 13.1%),4412 (863; 16.4%),2097 (251; 10.7%),2873 (317; 9.9%),175 (8; 4.4%)
Original,9778 (1218; 11.1%),4489 (786; 14.9%),2111 (237; 10.1%),3002 (188; 5.9%),176 (7; 3.8%)
Original,9800 (1196; 10.9%),4506 (769; 14.6%),2116 (232; 9.9%),3002 (188; 5.9%),176 (7; 3.8%)
Original,9827 (1169; 10.6%),4532 (743; 14.1%),2117 (231; 9.8%),3002 (188; 5.9%),176 (7; 3.8%)
Original,9929 (1067; 9.7%),4586 (689; 13.1%),2153 (195; 8.3%),3014 (176; 5.5%),176 (7; 3.8%)
