Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,1123 (4152),45.44300979519145 (-43.684147235949744),1635 (713),60.46544342507645 (-58.73034972831325),1671 (1519),58.950029922202276 (-57.312098887719515)
Original,1150 (4125),45.92 (-44.161137440758296),1639 (709),61.85600976205003 (-60.12091606528683),1676 (1514),60.247315035799524 (-58.60938400131676)
Original,1163 (4112),46.935081685296645 (-45.17621912605494),1642 (706),63.27527405602923 (-61.54018035926603),1680 (1510),61.583035714285714 (-59.94510467980295)
Original,1175 (4100),47.975744680851065 (-46.21688212160936),1652 (696),64.44794188861985 (-62.71284819185665),1680 (1510),63.05535714285714 (-61.41742610837438)
Original,1196 (4079),48.70275919732441 (-46.943896638082705),1652 (696),65.9860774818402 (-64.250983785077),1680 (1510),64.52767857142857 (-62.889747536945805)
Original,1212 (4063),49.60643564356435 (-47.84757308432265),1654 (694),67.44256348246675 (-65.70746978570355),1680 (1510),66.0 (-64.36206896551724)
Original,1214 (4061),51.053953871499175 (-49.29509131225747),1654 (694),68.97883917775091 (-67.24374548098771),1680 (1510),67.47232142857143 (-65.83439039408867)
Original,1216 (4059),52.50370065789474 (-50.744838098653034),1656 (692),70.42995169082126 (-68.69485799405805),1680 (1510),68.94464285714285 (-67.30671182266009)
Original,1220 (4055),53.86598360655738 (-52.10712104731567),1656 (692),71.96437198067633 (-70.22927828391313),1680 (1510),70.41696428571429 (-68.77903325123152)
Original,1226 (4049),55.13091353996737 (-53.37205098072567),1656 (692),73.4987922705314 (-71.7636985737682),1687 (1503),71.61470065204504 (-69.97676961756228)
Original,1228 (4047),56.57043973941368 (-54.81157718017197),1656 (692),75.03321256038647 (-73.29811886362327),1687 (1503),73.092768227623 (-71.45483719314024)
Original,1261 (4014),56.67367168913561 (-54.914809129893904),1656 (692),76.56763285024155 (-74.83253915347835),1690 (1500),74.44556213017752 (-72.80763109569476)
Original,1292 (3983),56.896671826625386 (-55.13780926738368),1656 (692),78.10205314009661 (-76.36695944333341),1694 (1496),75.75472255017709 (-74.11679151569433)
Original,1332 (3943),56.7713963963964 (-55.01253383715469),1662 (686),79.37545126353791 (-77.64035756677471),1798 (1392),72.96607341490545 (-71.32814238042269)
Original,1351 (3924),57.54441154700222 (-55.785548987760514),1664 (684),80.8203125 (-79.0852188032368),1877 (1313),71.49840170484816 (-69.8604706703654)
Original,1368 (3907),58.39985380116959 (-56.640991241927885),1667 (681),82.2123575284943 (-80.4772638317311),1892 (1298),72.47859408033827 (-70.84066304585551)
Original,1382 (3893),59.37301013024602 (-57.61414757100432),1667 (681),83.74985002999401 (-82.0147563332308),1919 (1271),73.01485148514851 (-71.37692045066575)
Original,1388 (3887),60.67471181556196 (-58.91584925632026),1669 (679),85.18514080287598 (-83.45004710611278),1926 (1264),74.2834890965732 (-72.64555806209044)
Original,1407 (3868),61.41044776119403 (-59.65158520195232),1669 (679),86.72079089275014 (-84.98569719598694),1936 (1254),75.44085743801652 (-73.80292640353376)
Original,1433 (3842),61.889741800418705 (-60.130879241177),1674 (674),87.99761051373955 (-86.26251681697634),1936 (1254),76.97262396694215 (-75.33469293245939)
Original,1464 (3811),62.209016393442624 (-60.45015383420092),1674 (674),89.5310633213859 (-87.7959696246227),1939 (1251),78.38344507478081 (-76.74551404029805)
Original,1474 (3801),63.39145183175034 (-61.63258927250863),1679 (669),90.81357951161405 (-89.07848581485085),1939 (1251),79.91309953584322 (-78.27516850136045)
Original,1495 (3780),64.11638795986622 (-62.35752540062451),1682 (666),92.18906064209274 (-90.45396694532954),1946 (1244),81.16623843782118 (-79.52830740333842)
Original,1507 (3768),65.21134704711348 (-63.45248448787177),1682 (666),93.72592152199762 (-91.99082782523442),1948 (1242),82.61370636550308 (-80.97577533102032)
Original,1511 (3764),66.63467902051622 (-64.87581646127451),1682 (666),95.2627824019025 (-93.5276887051393),1948 (1242),84.14450718685832 (-82.50657615237556)
Original,1513 (3762),68.13813615333774 (-66.37927359409603),1682 (666),96.79964328180738 (-95.06454958504418),1948 (1242),85.67530800821355 (-84.03737697373079)
Original,1526 (3749),69.16055045871559 (-67.40168789947388),1692 (656),97.76595744680851 (-96.03086375004531),1948 (1242),87.20610882956879 (-85.56817779508603)
Original,1536 (3739),70.30696614583333 (-68.54810358659162),1692 (656),99.30023640661939 (-97.56514270985619),1948 (1242),88.73690965092402 (-87.09897861644126)
Original,1545 (3730),71.50032362459547 (-69.74146106535376),1692 (656),100.83451536643027 (-99.09942166966707),1963 (1227),89.59882832399389 (-87.96089728951112)
Original,1574 (3701),71.80336721728081 (-70.0445046580391),1692 (656),102.36879432624113 (-100.63370062947793),1986 (1204),90.12084592145015 (-88.4829148869674)
Original,1581 (3694),73.08570524984187 (-71.32684269060016),1705 (643),103.13196480938416 (-101.39687111262096),1986 (1204),91.65659617321249 (-90.01866513872973)
Original,1592 (3683),74.17525125628141 (-72.41638869703971),1708 (640),104.49180327868852 (-102.75670958192532),1992 (1198),92.92570281124497 (-91.28777177676221)
Original,1606 (3669),75.14819427148194 (-73.38933171224024),1708 (640),106.02839578454332 (-104.29330208778012),1992 (1198),94.46385542168674 (-92.82592438720398)
Original,1611 (3664),76.51893234016138 (-74.76006978091968),1708 (640),107.56498829039812 (-105.82989459363492),1992 (1198),96.00200803212851 (-94.36407699764575)
Original,1629 (3646),77.28974831184776 (-75.53088575260605),1708 (640),109.10158079625293 (-107.36648709948973),1997 (1193),97.30095142714072 (-95.66302039265796)
Original,1633 (3642),78.69810165339865 (-76.93923909415695),1708 (640),110.63817330210773 (-108.90307960534453),2000 (1190),98.6915 (-97.05356896551724)
Original,1635 (3640),80.19755351681957 (-78.43869095757786),1708 (640),112.17476580796253 (-110.43967211119933),2000 (1190),100.228 (-98.59006896551723)
Original,1645 (3630),81.31246200607903 (-79.55359944683732),1710 (638),113.58888888888889 (-111.85379519212569),2000 (1190),101.7645 (-100.12656896551724)
Original,1649 (3626),82.7089144936325 (-80.9500519343908),1710 (638),115.13070175438597 (-113.39560805762277),2000 (1190),103.301 (-101.66306896551724)
Original,1654 (3621),84.05683192261185 (-82.29796936337014),1710 (638),116.67251461988305 (-114.93742092311984),2000 (1190),104.8375 (-103.19956896551724)
Original,1658 (3617),85.44933655006031 (-83.6904739908186),1710 (638),118.21432748538011 (-116.47923378861691),2000 (1190),106.374 (-104.73606896551723)
Original,1679 (3596),86.00059559261466 (-84.24173303337295),1722 (626),118.95528455284553 (-117.22019085608233),2002 (1188),107.8026973026973 (-106.16476626821454)
Original,1685 (3590),87.29436201780416 (-85.53549945856246),1723 (625),120.43964016250726 (-118.70454646574406),2002 (1188),109.33766233766234 (-107.69973130317958)
Original,1694 (3581),88.43417945690673 (-86.67531689766503),1723 (625),121.98984329657574 (-120.25474959981254),2002 (1188),110.87262737262738 (-109.23469633814462)
Original,1707 (3568),89.3684827182191 (-87.60962015897739),1723 (625),123.54004643064422 (-121.80495273388102),2002 (1188),112.4075924075924 (-110.76966137310964)
Original,1734 (3541),89.59457900807382 (-87.83571644883212),1723 (625),125.0902495647127 (-123.3551558679495),2002 (1188),113.94255744255744 (-112.30462640807468)
Original,1742 (3533),90.7890355912744 (-89.03017303203269),1730 (618),126.15115606936416 (-124.41606237260096),2003 (1187),115.41987019470794 (-113.78193916022518)
Original,1749 (3526),92.02744425385934 (-90.26858169461764),1730 (618),127.707225433526 (-125.9721317367628),2004 (1186),116.89570858283433 (-115.25777754835157)
Original,1750 (3525),93.57028571428572 (-91.81142315504401),1730 (618),129.26329479768785 (-127.52820110092465),2004 (1186),118.42914171656686 (-116.7912106820841)
Original,1762 (3513),94.55618615209988 (-92.79732359285818),1731 (617),130.75072212593875 (-129.01562842917554),2004 (1186),119.9625748502994 (-118.32464381581664)
Original,1772 (3503),95.58154627539503 (-93.82268371615332),1731 (617),132.3093587521664 (-130.57426505540317),2004 (1186),121.49600798403193 (-119.85807694954917)
Original,1806 (3469),94.54540420819491 (-92.7865416489532),1731 (617),133.867995378394 (-132.13290168163078),2004 (1186),123.02944111776448 (-121.39151008328172)
Original,1812 (3463),95.74420529801324 (-93.98534273877154),1732 (616),135.34844110854505 (-133.61334741178183),2064 (1126),120.91375968992249 (-119.27582865543972)
Original,1817 (3458),97.08888277380298 (-95.33002021456127),1734 (614),136.7580738177624 (-135.0229801209992),2072 (1118),121.99758687258688 (-120.35965583810412)
Original,1834 (3441),97.81733914940021 (-96.0584765901585),1734 (614),138.31891580161476 (-136.58382210485155),2072 (1118),123.54440154440154 (-121.90647050991878)
Original,1836 (3439),99.32216775599129 (-97.56330519674958),1734 (614),139.87975778546712 (-138.1446640887039),2072 (1118),125.09121621621621 (-123.45328518173345)
Original,1841 (3434),100.6664856056491 (-98.9076230464074),1734 (614),141.4405997693195 (-139.7055060725563),2073 (1117),126.57838880849012 (-124.94045777400736)
Original,1846 (3429),102.01868905742145 (-100.25982649817975),1734 (614),143.00144175317186 (-141.26634805640865),2083 (1107),127.11977916466634 (-125.48184813018358)
Original,1848 (3427),103.52191558441558 (-101.76305302517387),1734 (614),144.56228373702422 (-142.827190040261),2083 (1107),128.66874699951993 (-127.03081596503716)
